rs re inversion_n qid rid inversion_id
63263680 70954942 1 Chr4 Chr4 Chr4.Chr4.Inversion.1
106697933 114805008 2 Chr4 Chr4 Chr4.Chr4.Inversion.2
163448968 176890455 3 Chr4 Chr4 Chr4.Chr4.Inversion.3
40965406 55591378 4 Chr4 Chr4 Chr4.Chr4.Inversion.4
211607807 213033698 5 Chr4 Chr4 Chr4.Chr4.Inversion.5
196878598 200813508 5 Chr4 Chr4 Chr4.Chr4.Inversion.5
191930986 196832750 5 Chr4 Chr4 Chr4.Chr4.Inversion.5
213071023 215007710 5 Chr4 Chr4 Chr4.Chr4.Inversion.5
201292013 211409422 5 Chr4 Chr4 Chr4.Chr4.Inversion.5
215041738 220614049 5 Chr4 Chr4 Chr4.Chr4.Inversion.5
196878598 200813508 6 Chr4 Chr4 Chr4.Chr4.Inversion.6
211607807 213033698 7 Chr4 Chr4 Chr4.Chr4.Inversion.7
213071023 215007710 8 Chr4 Chr4 Chr4.Chr4.Inversion.8
30012768 31213762 1 Chr9 Chr9 Chr9.Chr9.Inversion.1
79346446 82016434 2 Chr9 Chr9 Chr9.Chr9.Inversion.2
161834658 162914891 3 Chr9 Chr9 Chr9.Chr9.Inversion.3
140840074 148247851 3 Chr9 Chr9 Chr9.Chr9.Inversion.3
148379609 161740731 3 Chr9 Chr9 Chr9.Chr9.Inversion.3
170849058 195019763 3 Chr9 Chr9 Chr9.Chr9.Inversion.3
163144968 163462122 4 Chr9 Chr9 Chr9.Chr9.Inversion.4
163510471 170781656 4 Chr9 Chr9 Chr9.Chr9.Inversion.4
161834658 162914891 4 Chr9 Chr9 Chr9.Chr9.Inversion.4
140840074 148247851 4 Chr9 Chr9 Chr9.Chr9.Inversion.4
148379609 161740731 4 Chr9 Chr9 Chr9.Chr9.Inversion.4
129023096 140635212 5 Chr9 Chr9 Chr9.Chr9.Inversion.5
105383452 123522527 5 Chr9 Chr9 Chr9.Chr9.Inversion.5
123533939 128856966 6 Chr9 Chr9 Chr9.Chr9.Inversion.6
129023096 140635212 6 Chr9 Chr9 Chr9.Chr9.Inversion.6
170003166 171069356 1 Chr14 Chr14 Chr14.Chr14.Inversion.1
152977665 169902298 1 Chr14 Chr14 Chr14.Chr14.Inversion.1
144851623 152904823 2 Chr14 Chr14 Chr14.Chr14.Inversion.2
39018407 39983315 1 Chr11 Chr11 Chr11.Chr11.Inversion.1
68186787 101610267 2 Chr11 Chr11 Chr11.Chr11.Inversion.2
133339790 151917334 3 Chr11 Chr11 Chr11.Chr11.Inversion.3
3576862 8151601 4 Chr11 Chr11 Chr11.Chr11.Inversion.4
8197751 13792542 5 Chr11 Chr11 Chr11.Chr11.Inversion.5
166125612 167009574 6 Chr11 Chr11 Chr11.Chr11.Inversion.6
160927108 162667254 6 Chr11 Chr11 Chr11.Chr11.Inversion.6
152141703 160223174 6 Chr11 Chr11 Chr11.Chr11.Inversion.6
160927108 162667254 7 Chr11 Chr11 Chr11.Chr11.Inversion.7
152141703 160223174 7 Chr11 Chr11 Chr11.Chr11.Inversion.7
34347236 38441502 8 Chr11 Chr11 Chr11.Chr11.Inversion.8
23723502 33358436 8 Chr11 Chr11 Chr11.Chr11.Inversion.8
54128041 65512888 8 Chr11 Chr11 Chr11.Chr11.Inversion.8
40790326 53297536 8 Chr11 Chr11 Chr11.Chr11.Inversion.8
39018407 39983315 8 Chr11 Chr11 Chr11.Chr11.Inversion.8
34347236 38441502 9 Chr11 Chr11 Chr11.Chr11.Inversion.9
40790326 53297536 9 Chr11 Chr11 Chr11.Chr11.Inversion.9
39018407 39983315 9 Chr11 Chr11 Chr11.Chr11.Inversion.9
14661176 21996034 10 Chr11 Chr11 Chr11.Chr11.Inversion.10
148373910 149231460 1 Chr5 Chr5 Chr5.Chr5.Inversion.1
127230258 147015241 2 Chr5 Chr5 Chr5.Chr5.Inversion.2
18796480 22646279 3 Chr5 Chr5 Chr5.Chr5.Inversion.3
37630783 52846575 3 Chr5 Chr5 Chr5.Chr5.Inversion.3
100770784 105869218 4 Chr5 Chr5 Chr5.Chr5.Inversion.4
106009736 111006105 4 Chr5 Chr5 Chr5.Chr5.Inversion.4
111313670 115916051 4 Chr5 Chr5 Chr5.Chr5.Inversion.4
106009736 111006105 5 Chr5 Chr5 Chr5.Chr5.Inversion.5
180098183 185773850 6 Chr5 Chr5 Chr5.Chr5.Inversion.6
177429142 179867066 7 Chr5 Chr5 Chr5.Chr5.Inversion.7
10738017 11795808 8 Chr5 Chr5 Chr5.Chr5.Inversion.8
28959251 36142246 9 Chr5 Chr5 Chr5.Chr5.Inversion.9
11830311 18267749 9 Chr5 Chr5 Chr5.Chr5.Inversion.9
37630783 52846575 9 Chr5 Chr5 Chr5.Chr5.Inversion.9
23037378 28252454 10 Chr5 Chr5 Chr5.Chr5.Inversion.10
18796480 22646279 10 Chr5 Chr5 Chr5.Chr5.Inversion.10
28959251 36142246 10 Chr5 Chr5 Chr5.Chr5.Inversion.10
11830311 18267749 10 Chr5 Chr5 Chr5.Chr5.Inversion.10
37630783 52846575 10 Chr5 Chr5 Chr5.Chr5.Inversion.10
23037378 28252454 11 Chr5 Chr5 Chr5.Chr5.Inversion.11
18796480 22646279 11 Chr5 Chr5 Chr5.Chr5.Inversion.11
11830311 18267749 11 Chr5 Chr5 Chr5.Chr5.Inversion.11
107251576 110665840 1 Chr10 Chr10 Chr10.Chr10.Inversion.1
115703606 124446667 2 Chr10 Chr10 Chr10.Chr10.Inversion.2
162747034 180336954 3 Chr10 Chr10 Chr10.Chr10.Inversion.3
158826728 162681520 4 Chr10 Chr10 Chr10.Chr10.Inversion.4
137170303 142735032 4 Chr10 Chr10 Chr10.Chr10.Inversion.4
142817102 157854773 5 Chr10 Chr10 Chr10.Chr10.Inversion.5
158826728 162681520 5 Chr10 Chr10 Chr10.Chr10.Inversion.5
7101581 7905073 6 Chr10 Chr10 Chr10.Chr10.Inversion.6
34724940 44704117 6 Chr10 Chr10 Chr10.Chr10.Inversion.6
293833 6228992 6 Chr10 Chr10 Chr10.Chr10.Inversion.6
17346767 34118267 6 Chr10 Chr10 Chr10.Chr10.Inversion.6
45442143 49722087 7 Chr10 Chr10 Chr10.Chr10.Inversion.7
7101581 7905073 7 Chr10 Chr10 Chr10.Chr10.Inversion.7
293833 6228992 7 Chr10 Chr10 Chr10.Chr10.Inversion.7
7101581 7905073 8 Chr10 Chr10 Chr10.Chr10.Inversion.8
8927825 17267511 9 Chr10 Chr10 Chr10.Chr10.Inversion.9
34724940 44704117 9 Chr10 Chr10 Chr10.Chr10.Inversion.9
17346767 34118267 9 Chr10 Chr10 Chr10.Chr10.Inversion.9
45442143 49722087 9 Chr10 Chr10 Chr10.Chr10.Inversion.9
293833 6228992 9 Chr10 Chr10 Chr10.Chr10.Inversion.9
7101581 7905073 9 Chr10 Chr10 Chr10.Chr10.Inversion.9
8927825 17267511 10 Chr10 Chr10 Chr10.Chr10.Inversion.10
34724940 44704117 10 Chr10 Chr10 Chr10.Chr10.Inversion.10
17346767 34118267 10 Chr10 Chr10 Chr10.Chr10.Inversion.10
45442143 49722087 10 Chr10 Chr10 Chr10.Chr10.Inversion.10
43108290 50843075 1 Chr2 Chr2 Chr2.Chr2.Inversion.1
33440640 39772791 2 Chr2 Chr2 Chr2.Chr2.Inversion.2
16279882 33196337 2 Chr2 Chr2 Chr2.Chr2.Inversion.2
33440640 39772791 3 Chr2 Chr2 Chr2.Chr2.Inversion.3
61150854 66836752 1 Chr3 Chr3 Chr3.Chr3.Inversion.1
104667969 117606813 2 Chr3 Chr3 Chr3.Chr3.Inversion.2
16420364 21368446 3 Chr3 Chr3 Chr3.Chr3.Inversion.3
6375307 7193931 4 Chr3 Chr3 Chr3.Chr3.Inversion.4
7370262 13544274 4 Chr3 Chr3 Chr3.Chr3.Inversion.4
6375307 7193931 5 Chr3 Chr3 Chr3.Chr3.Inversion.5
163773763 172304321 6 Chr3 Chr3 Chr3.Chr3.Inversion.6
172695047 174646523 7 Chr3 Chr3 Chr3.Chr3.Inversion.7
138822373 146876982 8 Chr3 Chr3 Chr3.Chr3.Inversion.8
134433171 138764763 9 Chr3 Chr3 Chr3.Chr3.Inversion.9
117835772 133824254 9 Chr3 Chr3 Chr3.Chr3.Inversion.9
134433171 138764763 10 Chr3 Chr3 Chr3.Chr3.Inversion.10
132357338 140590651 1 Chr8 Chr8 Chr8.Chr8.Inversion.1
122227356 132267651 1 Chr8 Chr8 Chr8.Chr8.Inversion.1
107877269 120670221 1 Chr8 Chr8 Chr8.Chr8.Inversion.1
142253665 172660062 1 Chr8 Chr8 Chr8.Chr8.Inversion.1
87521241 107824143 1 Chr8 Chr8 Chr8.Chr8.Inversion.1
9802805 10923973 2 Chr8 Chr8 Chr8.Chr8.Inversion.2
10953585 16955399 2 Chr8 Chr8 Chr8.Chr8.Inversion.2
23072340 33782744 3 Chr8 Chr8 Chr8.Chr8.Inversion.3
34170080 54580670 4 Chr8 Chr8 Chr8.Chr8.Inversion.4
9802805 10923973 5 Chr8 Chr8 Chr8.Chr8.Inversion.5
7791740 9788613 6 Chr8 Chr8 Chr8.Chr8.Inversion.6
132357338 140590651 7 Chr8 Chr8 Chr8.Chr8.Inversion.7
122227356 132267651 8 Chr8 Chr8 Chr8.Chr8.Inversion.8
107877269 120670221 8 Chr8 Chr8 Chr8.Chr8.Inversion.8
107877269 120670221 9 Chr8 Chr8 Chr8.Chr8.Inversion.9
167859451 170848426 1 Chr13 Chr13 Chr13.Chr13.Inversion.1
94985183 98331089 2 Chr13 Chr13 Chr13.Chr13.Inversion.2
84892291 85176966 3 Chr13 Chr13 Chr13.Chr13.Inversion.3
68650628 84805211 3 Chr13 Chr13 Chr13.Chr13.Inversion.3
103244699 107103077 4 Chr13 Chr13 Chr13.Chr13.Inversion.4
9024153 40571594 4 Chr13 Chr13 Chr13.Chr13.Inversion.4
99240262 99513231 5 Chr13 Chr13 Chr13.Chr13.Inversion.5
4585345 5260944 5 Chr13 Chr13 Chr13.Chr13.Inversion.5
99736896 102155108 5 Chr13 Chr13 Chr13.Chr13.Inversion.5
43265362 51925319 5 Chr13 Chr13 Chr13.Chr13.Inversion.5
53081516 68221700 5 Chr13 Chr13 Chr13.Chr13.Inversion.5
85764640 94865926 5 Chr13 Chr13 Chr13.Chr13.Inversion.5
94985183 98331089 5 Chr13 Chr13 Chr13.Chr13.Inversion.5
84892291 85176966 5 Chr13 Chr13 Chr13.Chr13.Inversion.5
68650628 84805211 5 Chr13 Chr13 Chr13.Chr13.Inversion.5
7180243 8685347 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
9024153 40571594 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
99240262 99513231 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
4585345 5260944 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
99736896 102155108 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
43265362 51925319 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
53081516 68221700 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
85764640 94865926 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
94985183 98331089 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
84892291 85176966 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
68650628 84805211 6 Chr13 Chr13 Chr13.Chr13.Inversion.6
7180243 8685347 7 Chr13 Chr13 Chr13.Chr13.Inversion.7
9024153 40571594 7 Chr13 Chr13 Chr13.Chr13.Inversion.7
99240262 99513231 7 Chr13 Chr13 Chr13.Chr13.Inversion.7
4585345 5260944 7 Chr13 Chr13 Chr13.Chr13.Inversion.7
53081516 68221700 7 Chr13 Chr13 Chr13.Chr13.Inversion.7
85764640 94865926 7 Chr13 Chr13 Chr13.Chr13.Inversion.7
94985183 98331089 7 Chr13 Chr13 Chr13.Chr13.Inversion.7
84892291 85176966 7 Chr13 Chr13 Chr13.Chr13.Inversion.7
68650628 84805211 7 Chr13 Chr13 Chr13.Chr13.Inversion.7
43265362 51925319 8 Chr13 Chr13 Chr13.Chr13.Inversion.8
7180243 8685347 8 Chr13 Chr13 Chr13.Chr13.Inversion.8
9024153 40571594 8 Chr13 Chr13 Chr13.Chr13.Inversion.8
99240262 99513231 8 Chr13 Chr13 Chr13.Chr13.Inversion.8
53081516 68221700 8 Chr13 Chr13 Chr13.Chr13.Inversion.8
85764640 94865926 8 Chr13 Chr13 Chr13.Chr13.Inversion.8
94985183 98331089 8 Chr13 Chr13 Chr13.Chr13.Inversion.8
84892291 85176966 8 Chr13 Chr13 Chr13.Chr13.Inversion.8
68650628 84805211 8 Chr13 Chr13 Chr13.Chr13.Inversion.8
43265362 51925319 9 Chr13 Chr13 Chr13.Chr13.Inversion.9
7180243 8685347 9 Chr13 Chr13 Chr13.Chr13.Inversion.9
9024153 40571594 9 Chr13 Chr13 Chr13.Chr13.Inversion.9
4585345 5260944 10 Chr13 Chr13 Chr13.Chr13.Inversion.10
130706368 132307556 1 Chr1 Chr1 Chr1.Chr1.Inversion.1
149502132 149919802 2 Chr1 Chr1 Chr1.Chr1.Inversion.2
109196557 115390569 3 Chr1 Chr1 Chr1.Chr1.Inversion.3
120252290 120718770 4 Chr1 Chr1 Chr1.Chr1.Inversion.4
115595328 120108324 5 Chr1 Chr1 Chr1.Chr1.Inversion.5
139782302 141109164 6 Chr1 Chr1 Chr1.Chr1.Inversion.6
124460087 130561415 6 Chr1 Chr1 Chr1.Chr1.Inversion.6
132630441 139642673 6 Chr1 Chr1 Chr1.Chr1.Inversion.6
130706368 132307556 6 Chr1 Chr1 Chr1.Chr1.Inversion.6
124460087 130561415 7 Chr1 Chr1 Chr1.Chr1.Inversion.7
132630441 139642673 7 Chr1 Chr1 Chr1.Chr1.Inversion.7
130706368 132307556 7 Chr1 Chr1 Chr1.Chr1.Inversion.7
4073607 11385251 8 Chr1 Chr1 Chr1.Chr1.Inversion.8
12434277 12849434 9 Chr1 Chr1 Chr1.Chr1.Inversion.9
2330575 3337760 9 Chr1 Chr1 Chr1.Chr1.Inversion.9
303259 2305556 9 Chr1 Chr1 Chr1.Chr1.Inversion.9
90849031 98614107 9 Chr1 Chr1 Chr1.Chr1.Inversion.9
4073607 11385251 9 Chr1 Chr1 Chr1.Chr1.Inversion.9
75947172 90365040 10 Chr1 Chr1 Chr1.Chr1.Inversion.10
12896162 75798216 10 Chr1 Chr1 Chr1.Chr1.Inversion.10
90849031 98614107 10 Chr1 Chr1 Chr1.Chr1.Inversion.10
75947172 90365040 11 Chr1 Chr1 Chr1.Chr1.Inversion.11
150458963 156311445 1 Chr7 Chr7 Chr7.Chr7.Inversion.1
117029008 121119157 2 Chr7 Chr7 Chr7.Chr7.Inversion.2
122400434 129390468 2 Chr7 Chr7 Chr7.Chr7.Inversion.2
130563165 139688573 2 Chr7 Chr7 Chr7.Chr7.Inversion.2
139725549 150277194 2 Chr7 Chr7 Chr7.Chr7.Inversion.2
117029008 121119157 3 Chr7 Chr7 Chr7.Chr7.Inversion.3
122400434 129390468 3 Chr7 Chr7 Chr7.Chr7.Inversion.3
103833593 116411617 4 Chr7 Chr7 Chr7.Chr7.Inversion.4
89358680 103753703 5 Chr7 Chr7 Chr7.Chr7.Inversion.5
17567468 17883048 1 Chr15 Chr15 Chr15.Chr15.Inversion.1
77324260 92800683 1 Chr15 Chr15 Chr15.Chr15.Inversion.1
176148829 177958022 2 Chr15 Chr15 Chr15.Chr15.Inversion.2
116477125 125219027 2 Chr15 Chr15 Chr15.Chr15.Inversion.2
145406526 169102297 2 Chr15 Chr15 Chr15.Chr15.Inversion.2
125772785 145212501 2 Chr15 Chr15 Chr15.Chr15.Inversion.2
18869082 44166661 2 Chr15 Chr15 Chr15.Chr15.Inversion.2
17567468 17883048 2 Chr15 Chr15 Chr15.Chr15.Inversion.2
77324260 92800683 2 Chr15 Chr15 Chr15.Chr15.Inversion.2
125772785 145212501 3 Chr15 Chr15 Chr15.Chr15.Inversion.3
104422244 116315321 4 Chr15 Chr15 Chr15.Chr15.Inversion.4
178232961 186045414 4 Chr15 Chr15 Chr15.Chr15.Inversion.4
116477125 125219027 4 Chr15 Chr15 Chr15.Chr15.Inversion.4
145406526 169102297 4 Chr15 Chr15 Chr15.Chr15.Inversion.4
18869082 44166661 4 Chr15 Chr15 Chr15.Chr15.Inversion.4
17567468 17883048 4 Chr15 Chr15 Chr15.Chr15.Inversion.4
77324260 92800683 4 Chr15 Chr15 Chr15.Chr15.Inversion.4
125772785 145212501 4 Chr15 Chr15 Chr15.Chr15.Inversion.4
12262971 15243583 5 Chr15 Chr15 Chr15.Chr15.Inversion.5
50842195 70449855 5 Chr15 Chr15 Chr15.Chr15.Inversion.5
176148829 177958022 5 Chr15 Chr15 Chr15.Chr15.Inversion.5
104422244 116315321 5 Chr15 Chr15 Chr15.Chr15.Inversion.5
178232961 186045414 5 Chr15 Chr15 Chr15.Chr15.Inversion.5
77324260 92800683 5 Chr15 Chr15 Chr15.Chr15.Inversion.5
116477125 125219027 6 Chr15 Chr15 Chr15.Chr15.Inversion.6
145406526 169102297 6 Chr15 Chr15 Chr15.Chr15.Inversion.6
18869082 44166661 6 Chr15 Chr15 Chr15.Chr15.Inversion.6
17567468 17883048 6 Chr15 Chr15 Chr15.Chr15.Inversion.6
125772785 145212501 6 Chr15 Chr15 Chr15.Chr15.Inversion.6
12262971 15243583 6 Chr15 Chr15 Chr15.Chr15.Inversion.6
50842195 70449855 6 Chr15 Chr15 Chr15.Chr15.Inversion.6
176148829 177958022 6 Chr15 Chr15 Chr15.Chr15.Inversion.6
178232961 186045414 6 Chr15 Chr15 Chr15.Chr15.Inversion.6
104422244 116315321 7 Chr15 Chr15 Chr15.Chr15.Inversion.7
77324260 92800683 7 Chr15 Chr15 Chr15.Chr15.Inversion.7
116477125 125219027 7 Chr15 Chr15 Chr15.Chr15.Inversion.7
145406526 169102297 7 Chr15 Chr15 Chr15.Chr15.Inversion.7
18869082 44166661 7 Chr15 Chr15 Chr15.Chr15.Inversion.7
17567468 17883048 7 Chr15 Chr15 Chr15.Chr15.Inversion.7
125772785 145212501 7 Chr15 Chr15 Chr15.Chr15.Inversion.7
12262971 15243583 7 Chr15 Chr15 Chr15.Chr15.Inversion.7
50842195 70449855 8 Chr15 Chr15 Chr15.Chr15.Inversion.8
104422244 116315321 8 Chr15 Chr15 Chr15.Chr15.Inversion.8
77324260 92800683 8 Chr15 Chr15 Chr15.Chr15.Inversion.8
116477125 125219027 8 Chr15 Chr15 Chr15.Chr15.Inversion.8
145406526 169102297 8 Chr15 Chr15 Chr15.Chr15.Inversion.8
125772785 145212501 8 Chr15 Chr15 Chr15.Chr15.Inversion.8
94542889 98681996 1 Chr16 Chr17 Chr17.Chr16.Inversion.1
68252502 69914238 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
141525891 145049674 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
70138346 79529550 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
163428620 169691075 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
156052411 163124557 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
79769594 93599989 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
98855482 114047710 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
145402009 155609812 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
170329033 188302042 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
116352522 141128208 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
188455486 204755643 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
94542889 98681996 2 Chr16 Chr17 Chr17.Chr16.Inversion.2
145402009 155609812 3 Chr16 Chr17 Chr17.Chr16.Inversion.3
163428620 169691075 4 Chr16 Chr17 Chr17.Chr16.Inversion.4
70138346 79529550 5 Chr16 Chr17 Chr17.Chr16.Inversion.5
188455486 204755643 6 Chr16 Chr17 Chr17.Chr16.Inversion.6
30497678 31139713 1 Chr6 Chr6 Chr6.Chr6.Inversion.1
112041156 116406123 2 Chr6 Chr6 Chr6.Chr6.Inversion.2
56321376 63516405 3 Chr6 Chr6 Chr6.Chr6.Inversion.3
63767114 78685977 3 Chr6 Chr6 Chr6.Chr6.Inversion.3
144495890 148870387 4 Chr6 Chr6 Chr6.Chr6.Inversion.4
150234307 154012162 5 Chr6 Chr6 Chr6.Chr6.Inversion.5
22980662 24120281 6 Chr6 Chr6 Chr6.Chr6.Inversion.6
41492139 43112822 6 Chr6 Chr6 Chr6.Chr6.Inversion.6
51583528 56051611 6 Chr6 Chr6 Chr6.Chr6.Inversion.6
19698904 22674400 6 Chr6 Chr6 Chr6.Chr6.Inversion.6
24262509 30071665 6 Chr6 Chr6 Chr6.Chr6.Inversion.6
31252400 41449986 6 Chr6 Chr6 Chr6.Chr6.Inversion.6
30497678 31139713 6 Chr6 Chr6 Chr6.Chr6.Inversion.6
22980662 24120281 7 Chr6 Chr6 Chr6.Chr6.Inversion.7
24262509 30071665 7 Chr6 Chr6 Chr6.Chr6.Inversion.7
31252400 41449986 7 Chr6 Chr6 Chr6.Chr6.Inversion.7
30497678 31139713 7 Chr6 Chr6 Chr6.Chr6.Inversion.7
41492139 43112822 8 Chr6 Chr6 Chr6.Chr6.Inversion.8
51583528 56051611 8 Chr6 Chr6 Chr6.Chr6.Inversion.8
62231354 72038465 1 Chr12 Chr16 Chr16.Chr12.Inversion.1
36918387 39650182 2 Chr12 Chr16 Chr16.Chr12.Inversion.2
119645561 123130862 3 Chr12 Chr16 Chr16.Chr12.Inversion.3
58911593 61944044 4 Chr12 Chr16 Chr16.Chr12.Inversion.4
123911692 127341145 4 Chr12 Chr16 Chr16.Chr12.Inversion.4
100822681 105999045 4 Chr12 Chr16 Chr16.Chr12.Inversion.4
114793407 118923834 4 Chr12 Chr16 Chr16.Chr12.Inversion.4
106132555 114755748 4 Chr12 Chr16 Chr16.Chr12.Inversion.4
72362830 87139220 4 Chr12 Chr16 Chr16.Chr12.Inversion.4
62231354 72038465 4 Chr12 Chr16 Chr16.Chr12.Inversion.4
119645561 123130862 4 Chr12 Chr16 Chr16.Chr12.Inversion.4
34356155 36272592 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
41337867 46011614 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
6989723 10358373 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
23490391 33938551 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
423274 6501884 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
127465400 136279826 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
46995019 58363875 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
10665544 23261625 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
36918387 39650182 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
58911593 61944044 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
123911692 127341145 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
100822681 105999045 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
114793407 118923834 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
106132555 114755748 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
72362830 87139220 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
