rs	re	qs	qe	rid	qid	qstrand
140822943	141840107	22787366	23879785	Ha412HOChr12	CM060417.1	+
28034799	28252454	143382334	143640483	Ha412HOChr05	CM060375.1	+
213042413	213058622	14620150	14529037	Ha412HOChr04	CM060423.1	-
153296952	153469726	11496398	11313760	Ha412HOChr01	CM060351.1	-
94689963	94815855	139987050	140096815	Ha412HOChr12	CM060417.1	+
53960214	54233482	67422705	67562255	Ha412HOChr11	CM060411.1	+
17707818	17757870	24235188	24138728	Ha412HOChr16	CM060441.1	-
12434277	12645647	178372027	178592799	Ha412HOChr01	CM060351.1	+
41252418	41307549	30878461	30836318	Ha412HOChr06	CM060381.1	-
138245735	139387381	78468562	78368800	Ha412HOChr12	CM060417.1	-
46762928	47537889	157202392	157753481	Ha412HOChr05	CM060375.1	+
47104354	47201025	120880440	121068779	Ha412HOChr17	CM060417.1	+
172848896	172947113	228886425	228798916	Ha412HOChr13	CM060423.1	-
209478562	210072504	78105221	77017321	Ha412HOChr16	CM060417.1	-
154658212	155222011	168429814	170189485	Ha412HOChr06	CM060435.1	+
172711768	173546838	124927710	124227018	Ha412HOChr15	CM060435.1	-
161614393	162841564	135373397	135887656	Ha412HOChr15	CM060381.1	+
4997990	5667087	212592697	213443612	Ha412HOChr10	CM060405.1	+
52589930	53017478	46364161	46497552	Ha412HOChr15	CM060435.1	+
111759546	112645456	94836439	92739033	Ha412HOChr02	CM060357.1	-
121923523	122415852	29579418	29302949	Ha412HOChr07	CM060369.1	-
25907498	27901117	159783160	158100669	Ha412HOChr05	CM060375.1	-
176171729	176762832	29860694	29190209	Ha412HOChr10	CM060405.1	-
105289755	119140924	117009722	120890642	Ha412HOChr04	CM060387.1	+
187119478	188302042	190174073	191209976	Ha412HOChr17	CM060447.1	+
164928851	165423129	59498421	60114057	Ha412HOChr04	CM060423.1	+
66271672	66877086	118720171	118220519	Ha412HOChr17	CM060417.1	-
20942106	22646279	168482193	165859243	Ha412HOChr05	CM060375.1	-
85648890	86804431	216234481	214465865	Ha412HOChr08	CM060393.1	-
123372230	124185209	62752778	60131918	Ha412HOChr01	CM060351.1	-
164922864	165358891	405442	1443	Ha412HOChr12	CM060447.1	-
8931339	11457810	170527913	173119749	Ha412HOChr05	CM060375.1	+
8148032	10084168	195878554	200668595	Ha412HOChr03	CM060363.1	+
39018536	40323962	58379112	60838073	Ha412HOChr11	CM060411.1	+
52765831	54546013	64482721	62431648	Ha412HOChr13	CM060387.1	-
17567468	18795580	107842458	113224972	Ha412HOChr15	CM060435.1	+
140605789	141109164	58792920	59837052	Ha412HOChr01	CM060351.1	+
58911593	61943142	66680841	70481927	Ha412HOChr16	CM060441.1	+
117029008	120006748	26947849	29087012	Ha412HOChr07	CM060369.1	+
23037378	25742519	148969710	144902064	Ha412HOChr05	CM060375.1	-
6073523	9697759	64887678	67263475	Ha412HOChr07	CM060387.1	+
79346446	82016434	88856682	84892593	Ha412HOChr09	CM060399.1	-
93641793	97284017	113314142	116710941	Ha412HOChr15	CM060435.1	+
36918387	39513481	37145349	40297918	Ha412HOChr16	CM060441.1	+
178186503	180338724	33158325	35601708	Ha412HOChr10	CM060405.1	+
95122544	98815791	51796282	45059999	Ha412HOChr12	CM060417.1	-
181271175	181627220	82168	534727	Ha412HOChr03	CM060363.1	+
6709674	8685347	139368248	143530752	Ha412HOChr13	CM060387.1	+
74507051	76962659	30665250	28012971	Ha412HOChr15	CM060435.1	-
173440412	174107005	176343781	175122886	Ha412HOChr14	CM060429.1	-
33443312	39772791	158228743	164883719	Ha412HOChr02	CM060357.1	+
11494031	13829646	170523939	168520991	Ha412HOChr05	CM060375.1	-
48966492	51052870	46558669	48194198	Ha412HOChr11	CM060411.1	+
42183276	46955313	158068732	154043762	Ha412HOChr02	CM060357.1	-
96086077	98614107	181470386	178713022	Ha412HOChr01	CM060351.1	-
23490392	27025119	55962927	50991249	Ha412HOChr16	CM060441.1	-
34347236	38143583	65739381	61167105	Ha412HOChr11	CM060411.1	-
51390363	53097472	45668209	44373936	Ha412HOChr11	CM060411.1	-
163509989	168545019	135343305	129378820	Ha412HOChr15	CM060381.1	-
191034959	191928095	217367494	218812627	Ha412HOChr09	CM060399.1	+
148384624	150277194	52208968	49546435	Ha412HOChr07	CM060369.1	-
83646847	86016634	53206216	56063593	Ha412HOChr13	CM060387.1	+
47422973	51952664	103943859	112086568	Ha412HOChr07	CM060387.1	+
61150854	66836760	121373967	131137958	Ha412HOChr03	CM060363.1	+
41337867	46011614	37047017	33474643	Ha412HOChr16	CM060441.1	-
176148829	177958022	184843999	181773363	Ha412HOChr15	CM060381.1	-
220502408	221543229	43766	2322405	Ha412HOChr04	CM060423.1	+
168205913	170781656	157171831	151137724	Ha412HOChr09	CM060399.1	-
211606227	213033698	14751702	16709334	Ha412HOChr04	CM060423.1	+
150234307	154012162	168074723	164542376	Ha412HOChr06	CM060435.1	-
201276935	206024286	9544135	462408	Ha412HOChr16	CM060447.1	-
206614985	209462391	32648531	26154929	Ha412HOChr16	CM060417.1	-
173777894	176021434	32969912	30080472	Ha412HOChr10	CM060405.1	-
186213845	189502089	64889811	60499303	Ha412HOChr04	CM060423.1	-
117155460	121782186	152829100	156248330	Ha412HOChr14	CM060429.1	+
29539658	35948681	160262989	165813539	Ha412HOChr05	CM060375.1	+
2341976	7115639	195129764	190461200	Ha412HOChr03	CM060363.1	-
154896259	157281095	138834620	136006240	Ha412HOChr14	CM060429.1	-
123488972	127629818	29706832	32421454	Ha412HOChr07	CM060369.1	+
37630783	44798569	149117321	156602764	Ha412HOChr05	CM060375.1	+
147788056	151917334	149047091	156408775	Ha412HOChr11	CM060411.1	+
9024153	19481579	124711628	112640737	Ha412HOChr13	CM060423.1	-
164001273	167264797	164640840	167958534	Ha412HOChr14	CM060429.1	+
100822681	108153036	111851918	119634599	Ha412HOChr16	CM060441.1	+
189633494	193801068	36567876	31751251	Ha412HOChr04	CM060423.1	-
10300364	24895721	83291270	68257109	Ha412HOChr07	CM060387.1	-
680651	5256514	175352531	165368701	Ha412HOChr13	CM060387.1	-
99235042	111763144	78605185	92024803	Ha412HOChr12	CM060417.1	+
80521295	90365040	166637374	177389662	Ha412HOChr01	CM060351.1	+
142390649	155051009	53670680	67559015	Ha412HOChr12	CM060417.1	+
40632300	50792455	173528117	162278141	Ha412HOChr10	CM060405.1	-
41200908	47955156	58378101	50338458	Ha412HOChr11	CM060411.1	-
213071023	215007710	11625866	14352188	Ha412HOChr04	CM060423.1	+
172698506	176625707	216421086	221403183	Ha412HOChr08	CM060393.1	+
173091544	175429859	233823791	241236657	Ha412HOChr13	CM060423.1	+
94985183	98331089	56370251	61274761	Ha412HOChr13	CM060387.1	+
56321376	63262202	72360598	79766068	Ha412HOChr06	CM060381.1	+
39996720	45702552	100758097	107725958	Ha412HOChr17	CM060417.1	+
217848421	220441649	6724084	2812335	Ha412HOChr04	CM060423.1	-
62231354	72038465	80890679	70907470	Ha412HOChr16	CM060441.1	-
178232961	182579230	199921374	204918554	Ha412HOChr15	CM060381.1	+
97353206	104108543	116882656	123836623	Ha412HOChr15	CM060435.1	+
109604471	117606813	73095303	81859731	Ha412HOChr03	CM060363.1	+
159740226	161630567	3369869	567843	Ha412HOChr07	CM060369.1	-
155298932	163274408	92033815	99971006	Ha412HOChr12	CM060417.1	+
27879381	36272592	50072580	41070053	Ha412HOChr16	CM060441.1	-
17847396	22914419	17961813	23140121	Ha412HOChr16	CM060441.1	+
3857	4965958	220573318	213514599	Ha412HOChr10	CM060405.1	-
43265362	51925319	164826605	156644584	Ha412HOChr13	CM060387.1	-
90753947	96008607	188925661	181510803	Ha412HOChr01	CM060351.1	-
153471184	158947920	11312371	236423	Ha412HOChr01	CM060351.1	-
1715448	5100616	219735012	224911538	Ha412HOChr12	CM060441.1	+
74931540	80408863	160612064	166391691	Ha412HOChr01	CM060351.1	+
188440108	197438804	202464216	191913431	Ha412HOChr17	CM060447.1	-
56326594	64578301	131252361	139805904	Ha412HOChr17	CM060417.1	+
179976456	187963059	28219043	35191469	Ha412HOChr16	CM060447.1	+
21016458	40571594	122393046	137585692	Ha412HOChr13	CM060387.1	+
72362830	91908522	80974810	111405099	Ha412HOChr16	CM060441.1	+
77552077	92800683	107423807	91355043	Ha412HOChr15	CM060435.1	-
107415828	118872332	125201205	139584237	Ha412HOChr13	CM060423.1	+
197194819	203130707	31506033	26670022	Ha412HOChr04	CM060423.1	-
165796143	172005905	22423654	28879738	Ha412HOChr10	CM060405.1	+
46995019	58363875	66512520	56424202	Ha412HOChr16	CM060441.1	-
87555570	94584695	208032344	214150658	Ha412HOChr08	CM060393.1	+
127117734	136267307	132162690	142300604	Ha412HOChr16	CM060441.1	+
